Position	A1	A2	B1	B2
1:147464066	89.4	85.1	100	95.2
1:110289537	5.8	4.7	0	0
1:2043172	100	100	100	100
1:144090113	93.3	95	14.2	37.7
1:147306335	100	100	100	100
1:150058122	35.2	65.2	0	0
1:83688005	100	92.8	10	23.5
1:144846162	0	0	0	0
1:43729974	0	0	0	0
1:58878733	0	0	0	0
1:136055308	0	6.6	0	0
1:96465391	100	100	100	100
1:123231268	0	5.5	0	0
1:157778127	85.7	93.3	84.6	100
1:133546331	94.7	91.6	95.6	95.6
1:2204437	0	0	0	0
1:44931466	100	100	53.3	84.6
1:84841511	0	0	0	0
1:130108521	0	0	3.5	0
1:73484815	4.3	0	0	0
1:44727326	0	0	0	0
1:84104770	100	100	100	100
1:136182824	0	0	0	0
1:18720305	0	0	0	5.5
1:85750320	100	100	10	27.2
1:147336147	100	100	100	100
1:119057266	80	96.1	96	100
1:155252217	100	100	91.6	100
1:3493851	96.2	100	100	93.3
1:104748081	75	76.9	100	100
1:59064240	0	0	0	0
1:18423761	88.2	85.7	100	95.4
1:73840094	92.8	100	42.8	53.8
1:144098749	83.3	85.7	10	13
1:83047900	91.6	95	100	100
1:536149	93.3	100	100	100
1:147790289	93.3	100	95.2	100
1:155162147	100	95	3	0
1:44704864	66.6	96.1	94.7	95.8
1:147580304	90.9	100	100	96.5
1:145592116	94.4	91.3	100	100
1:144676540	0	0	0	0
1:59064389	0	0	0	0
1:138600117	100	100	100	100
1:57457666	84	100	33.3	13.3
1:73740757	0	4.7	0	0
1:146694669	95.2	100	100	97.6
1:155737238	100	72.7	100	100
1:150307959	0	0	0	0
1:112777715	0	0	0	5
1:148773769	0	12.5	4.7	0
1:150307940	0	0	0	0
1:60622896	0	3.8	0	0
1:67290808	0	0	0	0
1:147826103	95.6	88	95.6	95.2
1:83591916	0	0	0	0
1:83539764	0	0	0	0
1:111032874	0	0	0	7.6
1:70996308	0	0	0	0
1:66023224	100	100	76	31.8
1:155094308	95.2	87.8	94.4	100
1:74000536	100	96	100	95.6
1:5291228	91.8	96.1	8.3	15.1
1:146282373	91.6	85.7	100	100
1:83917761	18.7	21.4	20	25.9
1:155839950	100	93.5	96.6	100
1:155061354	100	100	0	5.5
1:71245972	68.4	61.2	100	94.2
1:44847976	68	85.7	100	100
1:143576928	100	100	96.1	100
1:130589070	7.6	0	7.6	0
1:119151227	0	0	0	0
1:121880606	0	7.1	0	0
1:137498990	0	0	0	0
1:58837319	0	0	7.6	0
1:140862490	0	0	0	0
1:150670870	0	0	0	0
1:154757878	90	100	100	93.7
1:155009717	0	0	0	0
1:131564410	0	0	0	0
1:145964856	100	100	100	100
1:79880611	73.6	80	84.6	100
1:71406610	0	0	3.5	0
1:72709131	0	2.9	0	0
1:144845366	0	0	0	0
1:130662678	92.3	100	100	100
1:143756288	0	0	0	2.3
1:44199363	0	0	0	2.6
1:72109303	93.3	100	8.3	11.1
1:107575082	18.7	4.3	0	0
1:154923145	0	0	0	0
1:144076195	88.2	89.2	11.8	11.2
1:111637711	100	88	100	100
1:148233528	95.8	92.8	100	95.2
1:71709986	0	0	0	0
1:88111818	0	0	0	0
1:97308256	0	0	0	0
1:155958536	100	97.1	100	96.6
1:5260643	90	100	68.1	68.4
1:119438224	7.6	14.2	0	0
1:154923212	0	0	0	0
1:143031704	93.7	90.4	96.4	100
1:110084831	100	100	100	93.1
1:5304954	88.2	94.7	13.7	5.5
1:109368193	100	87.5	90	91.6
1:101004850	85.7	90.3	100	100
1:108238416	0	0	0	0
1:146233078	91.3	94.4	100	89.2
1:127132644	7.1	0	0	0
1:2455262	100	93.7	100	100
1:145075310	0	0	0	0
1:1189135	0	0	0	0
1:69917385	0	0	0	0
1:114144790	12.5	7.6	0	0
1:72107670	8.3	19	100	100
1:3256971	0	0	0	0
1:73808038	0	0	6.8	0
1:127317938	0	0	0	0
1:158290086	85.7	81.8	4.5	0
1:147856434	0	0	0	0
1:146768003	0	0	0	0
1:109586944	0	0	0	0
1:153208166	90.9	95.2	26.3	35
1:64488399	0	0	0	4.7
1:150674415	18.7	14.2	0	0
1:148076216	100	100	100	92.3
1:145040837	0	0	0	0
1:150746043	100	100	100	100
1:1811622	47.8	63.6	100	100
1:132449984	33.3	30.7	0	3.5
1:153057235	81.2	100	100	100
1:111686550	0	0	0	0
1:26088334	0	4.1	0	0
1:2204445	0	0	0	0
1:2996297	96.9	100	94.4	95
1:155184443	93.7	100	94.7	100
1:65230453	95.6	100	100	100
1:13547019	100	85.9	14.5	18.5
1:131252412	4.5	4	0	0
1:5250238	95.2	86.3	52.1	59
1:2360560	0	0	0	0
1:145213883	100	100	92.8	100
1:5267015	96.5	98.2	46.4	37.3
1:1188336	0	0	0	0
1:44904095	75	100	100	100
1:118656240	0	0	0	0
1:155816589	100	95	0	3.7
1:137498674	25.9	8.6	0	0
1:148178270	5.5	30.3	0	0
1:147587085	76.4	94.1	5.2	5.2
1:147343370	90.9	100	100	100
1:1824069	0	0	0	0
1:144005750	0	0	0	0
1:146190709	0	0	100	95
1:145185641	71.4	86.9	88.2	93.9
1:153040316	69.2	100	100	96.5
1:42322367	90	91.6	64.2	88.2
1:145469610	100	92.3	100	96.2
1:88632241	0	0	0	5
1:98517631	0	0	0	0
1:121898088	5	6.6	0	0
1:138681099	85.7	100	0	0
1:146490901	0	0	0	0
1:151554623	100	90	100	100
1:68937120	0	0	0	0
1:80936776	0	0	0	0
1:83473859	100	100	100	100
1:127025120	90	100	100	96.9
1:73470641	0	0	3.7	0
1:68420699	15.3	0	0	0
1:144113688	90	92	22	25
1:68400263	80.9	83.3	100	95.8
1:118537150	0	0	3.5	0
1:77596250	0	0	0	0
1:25641491	93.7	94.7	81.2	94.7
1:155741723	100	100	0	2.6
1:146559039	0	0	0	0
1:84804712	74.3	77.1	6.3	5.5
1:81464338	0	0	0	0
1:154922277	0	0	0	0
1:146491525	0	0	0	0
1:4713095	92	83.8	12.5	4
1:44789013	92.8	90	92.3	93.3
1:72026179	100	100	100	100
1:124348019	100	94.4	85.7	36.3
1:44865833	77.7	100	100	88.8
1:143700407	91.6	100	100	90.9
1:144676681	0	0	0	0
1:108633134	100	100	90.4	100
1:72390529	0	0	0	0
1:115479792	0	0	0	0
1:84029846	0	0	0	0
1:150188941	100	94.4	100	100
1:143612944	93.7	90.9	100	95.2
1:88075116	0	0	2.7	0
1:84095845	0	0	0	0
1:155406139	100	100	0	0
1:148177564	5	5.8	0	0
1:34707907	0	0	0	0
1:156685435	100	100	0	8.1
1:71611478	4.3	0	0	0
1:73829849	20	0	100	100
1:145107164	100	96.5	0	0
1:128085567	0	9.5	0	7.1
1:152873414	0	0	0	0
1:151271593	0	0	0	0
1:144996673	93.3	76.1	100	94.1
1:73820194	0	0	9	0
1:144895677	0	0	27.2	25
1:130085801	94.4	92.8	93.3	100
1:140739496	0	0	0	0
1:153216240	78.8	76	17	15.2
1:74007293	96.1	96.2	100	100
1:44926958	96.7	100	97.9	97.2
1:145754643	90	93.7	100	93.3
1:145195658	95.2	88.4	100	100
1:110276883	0	5.2	0	0
1:143364301	96	97.2	92.8	100
1:107576682	0	0	4.3	0
1:67544759	0	0	2.5	0
1:83557607	0	0	0	0
1:131226727	0	0	0	0
1:69688023	100	100	100	100
1:1407752	0	0	0	0
1:139209024	63.3	54.5	7.5	10
1:64488389	0	0	0	0
1:155617153	0	8.3	0	0
1:146844328	0	0	0	0
1:155106468	94.1	100	100	100
1:1777138	0	0	0	0
1:143994145	23	34.4	5.2	5.7
1:6517358	0	0	0	0
1:73741608	0	0	0	0
1:147736845	0	0	0	0
1:108551398	0	0	0	0
1:128901312	100	100	4.7	0
1:155716831	76.4	29.4	52.9	92
1:144676994	0	0	0	0
1:44760887	92.3	94.1	92.8	100
1:147099892	100	100	100	100
1:77596328	0	0	0	0
1:150384142	100	100	100	95.8
1:71710417	0	0	0	0
1:131156441	78.9	88.8	8.3	22.8
1:1407346	0	0	0	0
1:83424895	0	0	0	0
1:80647373	100	100	52.1	48.1
1:73655040	66.6	80	0	0
1:153423056	81.2	100	100	100
1:146740272	0	32.1	29.4	96.8
1:143696986	93.7	69.2	100	100
1:136518072	100	100	91.3	92.8
1:136054364	0	0	0	0
1:154658435	0	0	0	0
1:147093777	72.7	100	100	100
1:142491895	0	0	6.2	0
1:136832232	0	0	0	0
1:139863994	90.9	91.4	80	87.5
1:152509629	0	4.1	95.8	97.1
1:68937140	0	0	0	0
1:65802286	0	0	0	0
1:45091262	90.9	100	0	0
1:146597702	100	93.1	100	97.1
1:98515781	15	22.2	13	5
1:145108240	100	100	3.8	0
1:58756252	94.1	94.1	100	100
1:81463811	0	7.1	9	0
1:107181866	5.8	0	0	0
1:150711676	92.8	79.1	100	100
1:109543375	25	51.8	75	87
1:144120503	72	64.1	7.4	7
1:1775790	12	20	0	3.7
1:122078248	75	93.7	100	100
1:74504319	100	100	35.7	37.5
1:42322315	100	95.8	78.5	88.2
1:115836210	0	0	0	0
1:146768195	0	0	0	0
1:87646222	0	10.5	0	0
1:69050806	100	100	100	100
1:147463981	90	95	90.9	100
1:5448233	0	0	0	0
1:145075454	0	0	0	0
1:9242866	3.7	0	0	0
1:155010342	0	0	0	0
1:144812635	0	0	0	0
1:144129515	72.2	60	16	6
1:73656030	0	0	0	0
1:57177824	0	12.5	0	0
1:34970532	0	0	0	0
1:5448544	0	9.5	4	0
1:117954081	0	0	0	0
1:34922474	88.1	91.6	19.4	13.5
1:44687687	95	100	100	100
1:10070011	0	0	0	0
1:18720093	0	0	0	0
1:57470290	92.4	80.4	17.1	23.5
1:82706889	92.8	42.3	89.4	100
1:26953783	0	0	0	0
1:124954342	90	50	17.8	13.3
1:143173520	0	0	0	0
1:128184657	100	90.9	10.5	0
1:155641642	100	96.1	100	73.9
1:153971732	0	0	0	0
1:2408047	100	100	100	100
1:69832628	100	100	100	94.4
1:153334809	100	100	100	100
1:53753692	0	0	0	0
1:57457629	96	73.9	16.6	21.4
1:147023079	72.7	75	84	100
1:148884082	11.1	9	90	100
1:144116945	64.5	78.2	13.6	7.7
1:146359145	100	100	94.1	92.3
1:145791193	100	100	94.4	100
1:133525117	0	0	0	0
1:44855640	100	90	88.8	100
1:77752989	0	0	0	0
1:151485753	13.3	5.2	50	76.4
1:2456723	100	95.2	100	100
1:18910516	0	0	0	0
1:144676765	0	0	0	0
1:26953911	0	0	4.7	0
1:1224058	0	0	0	0
1:147856798	0	0	0	0
1:9560353	100	86.3	85.7	100
1:83299762	0	0	0	0
1:15624823	92.8	76.9	94.4	93.3
1:155252759	100	94.1	100	100
1:70419076	0	5.2	0	0
1:43540247	100	100	23.8	58.1
1:148347407	0	5.8	0	0
1:126874678	4.3	0	0	0
1:151134591	93.7	94.4	90	100
1:83539923	0	0	0	0
1:18232786	5	0	0	0
1:142780675	94.4	77.7	100	95.4
1:152902161	100	100	100	100
1:130107748	3.5	0	0	0
1:150688807	8	18.9	96.5	100
1:148017128	0	0	0	0
1:111685505	0	0	0	0
1:148033567	100	91.3	100	100
1:117768569	91.6	100	100	83.3
1:156003682	95.2	100	100	100
1:147038514	100	95	5.5	0
1:150228782	100	100	27.2	43.4
1:123231274	0	0	0	0
1:46543093	0	0	0	0
1:144845407	0	0	0	0
1:144562208	94.7	100	100	100
1:2394287	94.7	100	100	88.2
1:75488120	0	0	0	0
1:59064245	0	0	0	0
1:83207086	92	100	100	100
1:145154903	0	0	0	0
1:44845661	100	100	100	94.4
1:26088204	0	6.2	0	0
1:83244697	0	0	3.5	0
1:153494429	0	10.5	0	0
1:150725351	83.3	78.7	100	100
1:82739417	12	13.7	100	97.2
1:126874617	0	0	0	0
1:130765368	0	5.8	5.2	0
1:145041576	0	0	0	0
1:152503921	6.6	15	100	84.2
1:96245530	0	0	0	0
1:145132954	0	0	100	88.2
1:130765696	0	0	4.3	0
1:2067496	7.1	0	0	0
1:145028947	0	0	0	0
1:56843959	0	0	9	0
1:144121652	95.6	94.7	30.8	13.6
1:58662444	0	0	0	0
1:5264355	68.4	85.9	11.4	9.2
1:119150442	3.4	0	0	0
1:1324789	0	0	0	0
1:131778194	94.1	100	100	100
1:146844043	0	0	0	0
1:144115714	96.4	92.3	32.1	35.8
1:155651336	93.3	100	87.5	100
1:148001397	0	0	0	0
1:74068540	70	40	100	95
1:121884089	6.2	15.7	0	0
1:144118722	82.6	83.3	0	11.5
1:131113829	26	18.1	0	0
1:147058153	100	93.3	0	0
1:151402756	100	100	100	100
1:146490897	0	0	0	0
1:112817215	0	0	0	0
1:143519303	37.5	16.6	100	100
1:107927996	0	0	0	0
1:147066937	65.2	51.4	0	0
1:922729	0	0	0	0
1:112533694	95	82.6	100	96.1
1:100173317	100	100	100	100
1:78936384	92.8	100	100	100
1:158078727	7.1	0	0	0
1:143255760	0	4.7	0	0
1:18720284	0	0	9	0
1:128467348	0	0	0	0
1:145107169	100	96.5	0	0
1:152871963	4.5	9.3	0	0
1:3050663	0	0	0	0
1:155705160	100	100	100	100
1:56844055	0	0	0	0
1:132450306	6.6	4	0	0
1:150029198	100	100	0	0
1:121885621	13.6	14.2	0	0
1:44931554	91.6	38	60	69.2
1:147098455	94.7	100	100	92.8
1:75614779	0	0	0	0
1:155144188	90.9	100	100	100
1:26474007	96.7	92.8	38.8	51.3
1:26087764	0	0	0	0
1:146490969	0	0	0	0
1:72573288	100	100	100	73.5
1:13965326	100	91.6	100	97.4
1:144108862	87.5	100	69.2	65
1:115836232	0	0	0	0
1:143273136	72.7	81.2	54.5	46.1
1:123322729	0	0	0	0
1:155080349	68	72.2	100	100
1:130865146	75	95.3	100	100
1:128533383	94.4	100	100	100
1:178588	7.6	11.1	0	0
1:153255053	100	96.1	100	100
1:64841959	0	0	0	0
1:150058068	41.1	73.9	0	0
1:146735401	100	100	10	11.1
1:150961933	55	69.5	0	5
1:125660061	100	90	100	96.4
1:44267825	100	93.3	94.7	100
1:128467363	0	0	0	0
1:150307816	0	0	0	0
1:120472488	0	0	0	0
1:83591532	0	4	0	0
1:65463344	0	0	0	0
1:143538656	12.5	0	33.3	6.4
1:114431303	0	0	9	0
1:144690553	0	0	0	0
1:147418383	87.5	88.8	95	100
1:46420594	0	0	0	0
1:146353586	93.7	95.8	100	100
1:83521743	0	0	0	0
1:44362144	100	100	55.1	52
1:1324283	0	0	0	0
1:146436570	4.7	2.7	0	0
1:79783186	0	0	0	0
1:6199576	0	0	0	0
1:145704232	84.2	77.7	100	100
1:146866728	100	100	100	100
1:145028918	0	0	0	0
1:155939500	100	100	100	97.3
1:73840069	92.8	100	28.5	46.1
1:154254206	100	95.4	100	96.1
1:13546985	84.6	96.4	45.2	41.6
1:150243687	100	100	92.3	95.8
1:69282416	100	100	90.9	100
1:147564941	100	100	0	0
1:83244652	0	0	0	2.5
1:97952048	0	0	0	0
1:130109095	0	8.3	0	0
1:131242461	0	0	0	0
1:84575103	0	0	0	0
1:150671329	23.8	11.1	0	0
1:67458651	0	0	3.4	0
1:1829343	5.5	12.5	0	0
1:146123382	100	96.2	100	100
1:58837260	0	4.1	0	0
1:478868	0	0	0	0
1:107928148	0	0	0	0
1:8812073	7.6	0	0	0
1:68420630	0	0	6.6	0
1:65747153	87.5	96	96.1	100
1:142497396	8.3	10.5	0	4.7
1:155518347	97.2	100	100	96.1
1:2714730	100	100	100	100
1:11274716	81.9	78	30.9	17.2
1:24223310	90.4	100	100	100
1:138600113	100	100	100	100
1:150511913	100	81.4	90.4	95.6
1:155617163	15	8.3	0	0
1:44655752	0	0	0	0
1:72608190	0	0	0	0
1:32837329	63.6	64	3.7	0
1:121879298	5.2	4.3	0	0
1:150228682	100	96	23	54.5
1:70419047	0	0	0	0
1:10165728	0	0	0	0
1:83521496	0	0	4.7	0
1:83031185	100	100	100	100
1:145522141	100	92.3	100	100
1:132331910	84.6	80.9	72.7	100
1:155854666	0	9.5	0	0
1:145282560	0	0	0	0
1:69936363	0	0	100	100
1:154219255	57.1	62	0	0
1:126876070	0	0	0	0
1:156468328	100	100	100	100
1:155735764	100	94.7	100	100
1:128916339	15	0	0	5.8
1:70106344	0	0	0	0
1:68937004	0	0	0	0
1:145678419	93.3	100	94.4	100
1:143651744	95.4	100	100	100
1:73805289	88.2	100	21.4	5.2
1:7580157	95	100	72	81.8
1:150513335	33.3	27.2	93.3	100
1:3581826	100	93.5	100	100
1:2205060	0	5.2	0	0
1:142874920	0	0	0	0
1:118655736	0	0	18.1	29
1:144085206	100	100	50	59.5
1:5236436	71.9	68.7	4.7	5.6
1:147560267	86.6	95	100	100
1:45728072	66.6	81	4	4.3
1:146920666	100	100	86.1	95
1:122135833	82.3	96.9	93.1	96.6
1:131156165	92	96.4	0	0
1:96245620	0	0	0	0
1:132450666	23.8	20	0	0
1:85934393	0	0	0	0
1:9336856	100	90.9	100	100
1:18993057	0	0	0	0
1:152695592	0	5.5	0	0
1:108086133	6.2	0	0	0
1:155644147	93.3	100	100	90
1:146694522	91.6	100	100	100
1:44199294	0	0	0	0
1:155784061	91.6	100	90	100
1:146859214	4	0	0	0
1:139155643	0	0	0	0
1:155988428	100	100	100	88.2
1:1777418	5	0	4.5	0
1:32218352	83.3	90.4	90	84.6
1:18993263	0	0	0	0
1:3721843	100	94.7	0	0
1:152873152	0	0	0	0
1:74131061	89.4	100	100	100
1:150922942	0	5.8	0	0
1:147564991	100	100	0	0
1:69105034	90	95	100	93.3
1:155677397	100	80	100	100
1:68421426	0	0	0	2.7
1:156420995	0	0	0	0
1:3257508	0	0	0	0
1:1324392	0	0	0	0
1:144592203	100	100	95.4	100
1:139357880	88.2	93.7	0	6.4
1:131239516	0	0	0	0
1:145729162	100	90	100	93.3
1:146441477	94.4	96.1	100	95
1:2108403	0	0	0	0
1:85419509	84.2	95.2	100	92.3
1:145747518	100	100	100	100
1:84029812	0	0	0	0
1:1189147	0	0	0	0
1:67962033	0	4.1	0	0
1:84441521	0	0	0	0
1:143440040	94.1	93.3	92.8	93.7
1:121872346	6.2	14.2	0	0
1:145677625	85.7	94.1	100	87.5
1:73741848	37.5	42.1	0	0
1:100158056	0	0	0	2.6
1:143990289	0	0	0	0
1:131351546	0	0	0	0
1:141207464	13	22.2	0	4.5
1:155791125	91.3	84.6	100	100
1:145152196	0	0	0	0
1:143990476	0	0	0	0
1:155817208	100	100	6.2	0
1:131138602	83.3	92.8	0	0
1:70025650	100	42.1	100	100
1:135656461	0	23.8	0	0
1:144077376	81.8	80.6	16.4	10.9
1:5258007	100	93.3	10	17.2
1:145637161	100	96.2	100	94.2
1:128468018	0	0	0	0
1:151573216	94.7	94.7	94.1	94.7
1:32218469	94.4	100	60	80
1:155256808	100	100	100	40
1:108086995	0	0	0	0
1:146028317	100	100	100	92
1:144658094	100	92.8	100	100
1:31242429	0	0	0	0
1:44701190	8.6	0	5.5	0
1:132003071	0	0	0	3.7
1:21932024	94	92.2	20.6	18.9
1:147221453	85.7	100	100	100
1:26088352	0	0	0	0
1:113502498	0	0	0	0
1:154247542	92.8	91.6	100	100
1:57450068	66.3	69.1	6.6	2.7
1:145695609	0	0	0	0
1:111307522	0	0	0	0
1:69917005	0	0	0	0
1:157219201	100	100	100	100
1:156640867	94.1	94.7	0	0
1:68012095	0	0	0	0
1:157171459	100	100	0	0
1:156848794	100	100	81	93
1:156105155	100	100	95.2	100
1:3257091	0	0	0	0
1:153233762	0	0	3.4	0
1:11274132	78.9	80.1	30.4	26.7
1:45281073	0	0	3.5	0
1:143364356	100	97.2	96.4	96.5
1:144079504	84.6	95.3	12.5	13.3
1:140046089	0	0	0	0
1:18232979	0	7.1	0	0
1:121855552	12.5	34.6	0	0
1:155863950	100	93.7	100	100
1:144889069	90.4	92.8	100	100
1:61266975	94.7	89.4	56.5	73.3
1:623473	100	93.7	100	90
1:145194117	72.7	92.8	100	100
1:44841913	15.3	23.5	100	96.8
1:132003088	0	0	0	0
1:80187204	0	0	0	0
1:5279006	75.6	56.4	13.2	9.8
1:84440633	0	0	0	0
1:145846404	95.6	100	100	100
1:121924765	13	10.5	0	9.5
1:147584118	100	75	100	100
1:139880668	0	2.7	0	4
1:96454749	0	0	0	2.5
1:121880140	7.6	18.1	0	0
1:147099423	94.7	93.3	100	100
1:108086122	0	9	0	0
1:6415162	100	95.4	5.2	0
1:127040914	0	0	0	0
1:45735834	93.1	91.4	23.5	7.8
1:158309959	90	91.6	91.6	75
1:147945711	100	100	100	96.4
1:132446326	5.2	0	0	0
1:2197733	100	100	91.6	100
1:145957580	6.6	17.6	0	0
1:144126414	56.8	51.3	4.3	4.2
1:127023375	96.1	91.6	100	100
1:154658531	0	0	0	0
1:150943746	0	0	0	0
1:146839855	100	100	100	100
1:150054520	0	0	0	0
1:144797794	100	100	100	94.1
1:114406685	90	94.4	100	100
1:10069502	0	0	5.8	0
1:60893521	0	0	0	0
1:110108441	100	100	26.9	100
1:142876024	9.5	10	0	0
1:150143655	26.9	19.4	3	2.7
1:147565267	100	100	0	0
1:72884145	94.1	100	95	100
1:111902600	100	100	96.7	100
1:111349433	9	50	100	100
1:155833581	100	100	31.4	35.8
1:153214116	85.7	92.3	14.2	0
1:80603058	100	100	90	95.8
1:1865186	100	100	100	100
1:144329537	95.4	93.3	100	95.6
1:124953183	80.5	72.4	2	7.4
1:157171198	75	100	0	0
1:136573874	0	0	0	0
1:47068341	0	9	0	0
1:151271060	0	0	0	0
1:58837327	0	0	0	0
1:144707941	93.7	94.2	100	100
1:145108252	100	100	3.8	0
1:155651309	100	100	100	100
1:135657704	0	0	0	0
1:83500803	0	0	0	0
1:135656731	0	0	0	3.1
1:147647201	100	100	96.1	95.2
1:154070382	100	100	100	100
1:147002896	87.5	100	13	7.1
1:107927932	0	0	0	0
1:143741671	100	96.7	29.4	37.1
1:131853938	0	0	0	0
1:108085926	30.4	26	0	0
1:145236701	100	100	81.8	100
1:146051565	69.2	67.8	93.1	100
1:128772907	0	0	0	0
1:127132656	7.1	0	4.1	0
1:127041406	0	0	0	0
1:121854922	0	4.5	0	0
1:82574086	0	0	0	0
1:144676602	0	0	0	0
1:6660934	90.4	83.3	100	93.7
1:155341449	95.6	100	100	100
1:131239461	0	0	0	0
1:109662295	0	0	0	0
1:67852587	60	80	3.7	2.5
1:47545803	94.1	90	100	90.9
1:131834401	0	5.8	0	0
1:74041221	0	0	0	0
1:88417915	0	0	0	0
1:24984210	100	92	100	100
1:1224119	0	0	0	3.5
1:44362086	91.6	100	91.6	100
1:152872256	0	0	6.2	0
1:147564925	100	85.7	0	5.5
1:144118703	91.3	100	11.1	11.5
1:128284497	72.2	66.6	100	100
1:57476506	88.2	80	5.2	9.8
1:114432150	0	0	0	0
1:2204588	0	0	0	0
1:147399515	91.6	91.6	96.1	88.8
1:77752509	0	0	2.6	0
1:83557581	0	0	0	0
1:145678374	88.8	78.5	100	100
1:152450005	100	100	100	100
1:131155792	100	94.7	0	0
1:143021002	100	100	0	10.5
1:65649026	4.3	0	0	0
1:67458641	0	0	0	0
1:155252147	90.9	94.7	87.5	100
1:71612139	0	0	3.5	0
1:79783816	0	0	0	0
1:37691182	100	86.3	0	0
1:152871985	0	6.2	0	0
1:1739015	90.9	96.5	100	100
1:47068537	0	0	0	0
1:71248079	0	0	8.5	0
1:145152354	0	0	0	0
1:77752730	0	0	0	0
1:64935368	100	100	100	100
1:93470269	0	0	0	0
1:147856637	0	0	0	0
1:105020522	100	87.5	42.1	17
1:144780945	100	95.2	100	100
1:132076217	100	100	21	0
1:145609912	0	0	0	0
1:1775798	4	0	5.8	0
1:1407776	0	0	0	0
1:56978761	86.6	95.6	100	93.3
1:54069893	95.8	94.1	100	100
1:136054441	0	0	0	0
1:144795455	100	100	96	100
1:6581813	96.4	100	100	100
1:130108088	0	0	0	0
1:45066127	0	0	0	0
1:41700894	0	0	0	0
1:21930066	90	100	50	48.8
1:70276263	83.3	90.4	0	0
1:155061370	96	100	26.3	11.1
1:73776635	0	0	0	0
1:143520327	92.3	93.3	100	100
1:128968021	92.3	81.2	21	17.6
1:67873302	100	95.6	100	100
1:147332542	95.8	91.6	100	94.1
1:147308022	81.8	100	100	100
1:143255721	5	9.5	0	0
1:132446868	0	3.4	0	0
1:148751224	80	89.2	36	21
1:26611597	85.7	70.5	100	100
1:121854974	0	9	0	0
1:3734691	100	96.1	80	46.6
1:71965721	0	0	0	0
1:151402705	100	100	100	100
1:150923303	0	0	0	0
1:118657294	0	0	0	3.4
1:83521455	0	8	0	4.7
1:128221384	0	0	0	0
1:9043624	90.4	96.6	96.6	100
1:145493058	95.4	100	100	100
1:71516690	0	0	0	0
1:58448757	68.7	69.5	0	0
1:147736981	0	0	0	0
1:83148858	27.2	46.6	100	100
1:154926401	26.6	23.8	5.8	6.2
1:71709965	0	0	0	0
1:109722130	0	0	12.5	5.2
1:145796663	96.1	100	100	100
1:153336295	86.9	77.4	100	100
1:144115587	53.3	76.4	9.3	13.7
1:141793815	20	40.9	100	94.4
1:127591912	0	0	0	0
1:131149487	81.2	90	0	5.2
1:131252688	0	0	0	0
1:144733951	95.2	100	100	94.4
1:146598785	84	91.8	93.5	100
1:85951564	5.2	3.5	3.4	0
1:128901508	93.3	95.2	0	0
1:59326854	90.9	81.8	100	100
1:63780537	61.1	50	92.8	61.1
1:57177877	0	3.4	0	0
1:153339666	95.4	91.6	100	100
1:1591625	0	0	0	0
1:118536933	0	0	0	4.3
1:73469849	0	0	0	0
1:154945918	100	92.1	92.3	100
1:34708017	0	0	0	0
1:46543714	0	0	0	0
1:150404128	86.6	88.8	95	84.6
1:154923617	0	0	0	0
1:43219011	100	80.9	84	90.4
1:144617986	100	87.5	92.8	95.2
1:118655751	0	0	3	6.4
1:81464391	0	0	0	0
1:96789309	0	0	0	0
1:133546425	100	91.6	95.6	100
1:128872238	75	69.2	100	100
1:5259499	63.3	51.1	0	6.9
1:144657703	93.3	94.7	100	96.1
1:46542865	0	0	0	4.5
1:1777498	0	0	0	0
1:148266891	0	0	0	0
1:134087525	94.7	95	100	95.8
1:140957566	47	29.4	93.7	100
1:144845929	0	0	0	0
1:107574941	0	6.8	0	0
1:60001782	100	100	100	100
1:150153676	100	100	100	100
1:146470842	100	95.2	100	97.2
1:142835489	92.8	95.4	21	0
1:133546441	94.7	100	95.6	95.6
1:150243740	96.4	97.2	100	100
1:83591586	0	0	0	0
1:146028821	100	100	100	100
1:83244263	6.2	0	0	7.1
1:1324338	0	0	0	0
1:141776321	90	87.5	45.4	12.5
1:155854659	0	4.7	0	4.3
1:1189262	0	7.1	8.3	0
1:44705899	100	96.7	96.6	100
1:100026684	3.4	0	0	0
1:112816247	0	0	0	2.5
1:93470305	0	0	0	0
1:150962732	100	92.5	95.2	100
1:157253310	100	83.3	100	100
1:142875793	0	0	0	0
1:154923098	0	0	0	0
1:131927941	86.6	100	100	100
1:127474485	95.2	100	100	100
1:44789079	100	80	100	93.7
1:83463133	30.7	41.3	0	0
1:71612130	0	0	0	0
1:132003129	0	0	0	0
1:145869488	92.3	78.5	100	100
1:21503622	71.4	79.3	100	100
1:32837326	63.6	52	0	0
1:67722309	0	0	0	0
1:124951532	77.7	93.7	20	26.6
1:140912984	0	0	0	0
1:118657266	0	0	0	10.3
1:155256729	90	100	100	10
1:150670899	0	4.5	0	0
1:59583046	92.8	94.1	100	95.2
1:154254468	84.6	86.9	95.8	100
1:141231219	0	7.6	0	0
1:132288503	90	100	95.4	89.4
1:130107720	3.5	4.3	0	0
1:136598475	100	85.1	100	96
1:1824010	0	6.6	0	0
1:157356485	100	90	100	100
1:154223078	94.4	100	0	0
1:143173335	0	0	0	0
1:44926570	100	100	100	98.1
1:132446464	6.6	20.8	4	0
1:1188303	0	0	0	0
1:179060	0	0	0	0
1:146353521	100	91.3	93.3	100
1:146211943	100	100	100	100
1:72026291	100	100	89.4	96.1
