Ensembl Gene ID	Associated Gene Name	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
ENSBTAG00000002313	ITPR2	inositol 1,4,5-trisphosphate receptor type 2  [Source:RefSeq peptide;Acc:NP_776794]	5	83398954	83986176	1
ENSBTAG00000004010	PAPPA	pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602]	8	107150317	107379748	1
ENSBTAG00000025667		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MC34]	8	107583920	107794692	-1
ENSBTAG00000009420	SCML2	sex comb on midleg-like 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:10581]	X	132323731	132444517	1
ENSBTAG00000003422		Sorting nexin-5  [Source:UniProtKB/Swiss-Prot;Acc:Q3ZBM5]	13	38519143	38543948	-1
ENSBTAG00000017155	TRIM32	tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]	8	107645159	107656813	1
ENSBTAG00000007353	DLX4	distal-less homeobox 4 [Source:HGNC Symbol;Acc:HGNC:2917]	19	37314777	37320363	-1
ENSBTAG00000008153	CAMSAP2	calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]	16	81285131	81329337	1
ENSBTAG00000001602	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	25	25139417	25189373	1
ENSBTAG00000006532	CDK5RAP2	CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]	8	111715152	111899127	-1
ENSBTAG00000021566	PAX2	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	26	21470763	21546730	1
ENSBTAG00000006126	GTF3C1	general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]	25	25276351	25356558	-1
ENSBTAG00000010228	LMX1B	LIM homeobox transcription factor 1 beta [Source:HGNC Symbol;Acc:HGNC:6654]	11	97475306	97481276	1
ENSBTAG00000047274	KIF21B	kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]	16	81388497	81434502	-1
ENSBTAG00000006129	KIAA0556	KIAA0556 [Source:HGNC Symbol;Acc:HGNC:29068]	25	25416302	25588540	1
ENSBTAG00000023843	RALGPS1	ras-specific guanine nucleotide-releasing factor RalGPS1  [Source:RefSeq peptide;Acc:NP_001180029]	11	97674642	97975506	1
ENSBTAG00000003012	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	8	112194564	112214586	-1
ENSBTAG00000005015	SFXN3	sideroflexin 3 [Source:HGNC Symbol;Acc:HGNC:16087]	26	21731746	21738756	1
ENSBTAG00000021126	TAF5L	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1BHK9]	X	134582941	134584743	1
ENSBTAG00000047491	CACNA1S	calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]	16	81471758	81527931	-1
ENSBTAG00000000593	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]	5	88287352	88453869	1
ENSBTAG00000010136	CMAS	N-acylneuraminate cytidylyltransferase  [Source:RefSeq peptide;Acc:NP_001030475]	5	88565333	88580843	-1
ENSBTAG00000014663	HOXB13	homeobox B13 [Source:HGNC Symbol;Acc:HGNC:5112]	19	38428299	38430120	1
ENSBTAG00000046177	IGFN1	immunoglobulin-like and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24607]	16	81604665	81641464	1
ENSBTAG00000039599	HOXB4	homeobox protein Hox-B4  [Source:RefSeq peptide;Acc:NP_001071582]	19	38561274	38564096	-1
ENSBTAG00000046350	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	16	81683387	81720203	1
ENSBTAG00000023411		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1BI82]	1	136747035	136790649	-1
ENSBTAG00000012847	FAM129B	family with sequence similarity 129 member B [Source:HGNC Symbol;Acc:HGNC:25282]	11	98232719	98251825	-1
ENSBTAG00000018292		MOSPD2 protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:A6QQK3]	X	135804051	135892336	-1
ENSBTAG00000010289	GEMIN8	gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]	X	136682021	136699447	1
ENSBTAG00000016235		ribonuclease H1 isoform 2  [Source:RefSeq peptide;Acc:NP_001039970]	8	112911793	112920759	1
ENSBTAG00000013740	SP2	Sp2 transcription factor [Source:HGNC Symbol;Acc:HGNC:11207]	19	39194570	39296546	-1
ENSBTAG00000016268	XRCC1	X-ray repair cross complementing 1 [Source:HGNC Symbol;Acc:HGNC:12828]	18	52081208	52100015	-1
ENSBTAG00000045526	INSM1	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	13	40230297	40231781	1
ENSBTAG00000010818	AEBP2	AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]	5	90899026	90960752	-1
ENSBTAG00000008994	FPGS	folylpolyglutamate synthase [Source:HGNC Symbol;Acc:HGNC:3824]	11	98498179	98506303	1
ENSBTAG00000013523	OSBPL7	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]	19	39254140	39265047	1
ENSBTAG00000006305	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	11	98552024	98561576	-1
ENSBTAG00000044129	ST6GALNAC6	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23364]	11	98568364	98579039	-1
ENSBTAG00000013341	GYG2	glycogenin 2 [Source:HGNC Symbol;Acc:HGNC:4700]	X	140120347	140138151	-1
ENSBTAG00000012798	KCNH8	potassium voltage-gated channel subfamily H member 8 [Source:HGNC Symbol;Acc:HGNC:18864]	1	138455304	138676649	1
ENSBTAG00000023851	FAM102A	family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419]	11	98621303	98654751	-1
ENSBTAG00000006742	PAX1	paired box 1 [Source:HGNC Symbol;Acc:HGNC:8615]	13	41248125	41257312	1
ENSBTAG00000008908	GZF1	GDNF inducible zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:15808]	13	42407301	42413062	1
ENSBTAG00000032704	NAPB	NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]	13	42416038	42453614	-1
ENSBTAG00000006262	LIMS2	LIM zinc finger domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16084]	2	4780176	4819192	1
ENSBTAG00000039803	MYO7B	myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]	2	4819957	4901074	-1
ENSBTAG00000030922		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MQM5]	18	52265371	52271123	1
ENSBTAG00000008541	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	5	93926791	93950162	-1
ENSBTAG00000004588	KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	18	52303109	52316896	-1
ENSBTAG00000009526	TMEM59	transmembrane protein 59 [Source:HGNC Symbol;Acc:HGNC:1239]	3	92746059	92771330	1
ENSBTAG00000016911	ARHGAP23	Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:HGNC:29293]	19	39724567	39771622	1
ENSBTAG00000040147	SYNDIG1	synapse differentiation inducing 1 [Source:HGNC Symbol;Acc:HGNC:15885]	13	42791822	42894170	1
ENSBTAG00000004278	APMAP	adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]	13	42963404	43023221	-1
ENSBTAG00000016156	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	25	26437044	26444129	1
ENSBTAG00000009881	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative) [Source:HGNC Symbol;Acc:HGNC:3368]	13	43004253	43076853	-1
ENSBTAG00000021068	SUFU	SUFU negative regulator of hedgehog signaling [Source:HGNC Symbol;Acc:HGNC:16466]	26	23452980	23517250	1
ENSBTAG00000000736	LRP8	LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]	3	93488723	93580869	1
ENSBTAG00000004318	ARL3	ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694]	26	23563111	23761992	-1
ENSBTAG00000007648	NET1	neuroepithelial cell transforming 1 [Source:HGNC Symbol;Acc:HGNC:14592]	13	43526442	43538233	-1
ENSBTAG00000017422	TAOK2	TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]	25	26531018	26547977	-1
ENSBTAG00000009493	BCL3	B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]	18	52922334	52931384	1
ENSBTAG00000002174	RERG	RAS like estrogen regulated growth inhibitor [Source:HGNC Symbol;Acc:HGNC:15980]	5	95098306	95228587	1
ENSBTAG00000019177	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]	2	5350654	5407851	1
ENSBTAG00000009495	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	18	52965138	52976445	1
ENSBTAG00000002717	INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	26	24131990	24144138	1
ENSBTAG00000002035	ARL5C	ADP ribosylation factor like GTPase 5C [Source:HGNC Symbol;Acc:HGNC:31111]	19	40319250	40325150	1
ENSBTAG00000030913	Mx1	Interferon-induced GTP-binding protein Mx1 Interferon-induced GTP-binding protein Mx1, N-terminally processed [Source:UniProtKB/Swiss-Prot;Acc:P79135]	1	143176083	143204865	1
ENSBTAG00000044107	FAM159A	family with sequence similarity 159 member A [Source:HGNC Symbol;Acc:HGNC:28757]	3	94277571	94308840	-1
ENSBTAG00000018281	GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	3	94323976	94331673	-1
ENSBTAG00000031852	TBC1D10B	TBC1 domain family member 10B [Source:HGNC Symbol;Acc:HGNC:24510]	25	26801396	26811293	-1
ENSBTAG00000021253	PRDM15	PR/SET domain 15 [Source:HGNC Symbol;Acc:HGNC:13999]	1	143569076	143621182	-1
ENSBTAG00000021219	SEPT1	septin 1 [Source:HGNC Symbol;Acc:HGNC:2879]	25	26817914	26821527	-1
ENSBTAG00000003741	NEURL1	neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]	26	24330861	24403159	1
ENSBTAG00000044153	SH3PXD2A	SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664]	26	24413186	24469653	-1
ENSBTAG00000031806			25	26831623	26835977	1
ENSBTAG00000046514	ASMTL	acetylserotonin O-methyltransferase-like [Source:HGNC Symbol;Acc:HGNC:751]	26	24664881	24679483	-1
ENSBTAG00000002430	COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	26	24848931	24896345	-1
ENSBTAG00000030567	ODF2	outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:HGNC:8114]	11	99047692	99074785	1
ENSBTAG00000019357	ZNF688	zinc finger protein 688 [Source:HGNC Symbol;Acc:HGNC:30489]	25	26993387	26996169	-1
ENSBTAG00000018094	ZNF689	zinc finger protein 689 [Source:HGNC Symbol;Acc:HGNC:25173]	25	27014540	27018793	-1
ENSBTAG00000047092		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1BNI2]	X	143557040	143559418	-1
ENSBTAG00000020689	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838]	18	53432747	53447531	-1
ENSBTAG00000017355	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	18	53451652	53466227	-1
ENSBTAG00000003989		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MKB7]	26	25088448	25097722	1
ENSBTAG00000017366	GRB7	growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]	19	40753903	40762633	1
ENSBTAG00000015343	WDR34	WD repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:28296]	11	99179458	99198829	-1
ENSBTAG00000012561	ORMDL1	ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]	2	6511310	6523389	1
ENSBTAG00000003990	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:29370]	26	25130963	25154923	-1
ENSBTAG00000002685	PITRM1	pitrilysin metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17663]	13	45473919	45499897	1
ENSBTAG00000010195	PKN3	protein kinase N3 [Source:HGNC Symbol;Acc:HGNC:17999]	11	99232119	99246139	1
ENSBTAG00000020304			26	25814616	25826678	-1
ENSBTAG00000018321	PAOX	polyamine oxidase (exo-N4-amino) [Source:HGNC Symbol;Acc:HGNC:20837]	26	25828813	25855778	-1
ENSBTAG00000020789	STS	steroid sulfatase (microsomal), isozyme S [Source:HGNC Symbol;Acc:HGNC:11425]	X	146611850	146751829	-1
ENSBTAG00000019605	OPA3	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia) [Source:HGNC Symbol;Acc:HGNC:8142]	18	53545325	53612052	-1
ENSBTAG00000000207	PUDP	pseudouridine 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:16818]	X	146775607	146843115	1
ENSBTAG00000027841		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X7N7]	X	147554232	147826321	1
ENSBTAG00000046499		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3N017]	26	25928928	25930145	1
ENSBTAG00000012416			26	25938181	25941636	-1
ENSBTAG00000021170	OSBPL9	oxysterol-binding protein-related protein 9  [Source:RefSeq peptide;Acc:NP_001068973]	3	95124031	95288435	-1
ENSBTAG00000006395	TUBGCP2	tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599]	26	25944197	25958640	1
ENSBTAG00000023832	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	26	25960809	25972557	1
ENSBTAG00000047238	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	25	27602222	27639821	1
ENSBTAG00000011645			1	144832445	144845410	-1
ENSBTAG00000017321	SUMO3	small ubiquitin-like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]	1	145031789	145041320	-1
ENSBTAG00000005527	GIPR	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]	18	53668986	53677248	1
ENSBTAG00000036101	CCBL1	Bos taurus cysteine conjugate-beta lyase, cytoplasmic (CCBL1), mRNA. [Source:RefSeq mRNA;Acc:NM_001077978]	11	99340500	99411162	-1
ENSBTAG00000004438	XPNPEP1	X-prolyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:12822]	26	30690130	30742278	-1
ENSBTAG00000013347	DMPK	dystrophia myotonica protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	18	53760689	53769611	-1
ENSBTAG00000012500	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	19	41210900	41249293	1
ENSBTAG00000038831	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]	11	99441598	99458549	1
ENSBTAG00000011059	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	3	95924172	95928574	-1
ENSBTAG00000010613	NUP188	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	11	99463011	99506210	1
ENSBTAG00000017263	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	26	31041196	31135072	1
ENSBTAG00000014880		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1BCU8]	1	145688433	145695944	-1
ENSBTAG00000020283	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	26	31326729	31338433	1
ENSBTAG00000003128	SPATA6	spermatogenesis associated 6 [Source:HGNC Symbol;Acc:HGNC:18309]	3	98370383	98536867	1
ENSBTAG00000010653	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	11	99527877	99552782	1
ENSBTAG00000013905	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	26	31387332	31425414	1
ENSBTAG00000021417	DMWD	dystrophia myotonica, WD repeat containing [Source:HGNC Symbol;Acc:HGNC:2936]	18	53770876	53777767	-1
ENSBTAG00000008175	ZNF713	zinc finger protein 713 [Source:HGNC Symbol;Acc:HGNC:22043]	25	27875669	27895361	1
ENSBTAG00000007934		28S ribosomal protein S17, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P82916]	25	27911080	27915275	1
ENSBTAG00000010658	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	1	145770058	145797205	1
ENSBTAG00000001933	PTPA	protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]	11	99590328	99621986	1
ENSBTAG00000019513	C9orf50	chromosome 9 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:23677]	11	100030767	100038242	-1
ENSBTAG00000008184	CCT6A	chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620]	25	27985731	27993651	1
ENSBTAG00000021901	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	1	145830610	145871792	1
ENSBTAG00000045643	FOXD2	forkhead box D2 [Source:HGNC Symbol;Acc:HGNC:3803]	3	99427366	99429471	-1
ENSBTAG00000031583	NUPR2	nuclear protein 2, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:44164]	25	28027757	28028658	-1
ENSBTAG00000015314		Argininosuccinate lyase  [Source:UniProtKB/TrEMBL;Acc:F1MTV7]	25	28247949	28256721	-1
ENSBTAG00000037489	CRCP	CGRP receptor component [Source:HGNC Symbol;Acc:HGNC:17888]	25	28255764	28294982	1
ENSBTAG00000000390	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	25	28339035	28445471	1
ENSBTAG00000014585	PTGIR	prostaglandin I2 (prostacyclin) receptor (IP) [Source:HGNC Symbol;Acc:HGNC:9602]	18	54185871	54188079	-1
ENSBTAG00000014417		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1N308]	25	33157514	33168430	1
ENSBTAG00000030705	DACT3	dishevelled binding antagonist of beta catenin 3 [Source:HGNC Symbol;Acc:HGNC:30745]	18	54208182	54218832	-1
ENSBTAG00000021574	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	26	33755956	33943059	1
ENSBTAG00000004204	GPR107	G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:HGNC:17830]	11	100432297	100484528	1
ENSBTAG00000011753	RCC1L	RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]	25	33178161	33201942	-1
ENSBTAG00000010977	FRZB	frizzled-related protein [Source:HGNC Symbol;Acc:HGNC:3959]	2	13724668	13761787	1
ENSBTAG00000003305	NCF1	neutrophil cytosolic factor 1 [Source:HGNC Symbol;Acc:HGNC:7660]	25	33267458	33282335	-1
ENSBTAG00000005830	STRN4	striatin 4 [Source:HGNC Symbol;Acc:HGNC:15721]	18	54263458	54287817	-1
ENSBTAG00000033766	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	19	42463453	42465605	-1
ENSBTAG00000007507	FAAH	fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]	3	100317761	100338715	-1
ENSBTAG00000017976	ABL1	tyrosine-protein kinase ABL1  [Source:RefSeq peptide;Acc:NP_001193789]	11	101118800	101150880	1
ENSBTAG00000015543	ARHGAP35	Rho GTPase activating protein 35 [Source:HGNC Symbol;Acc:HGNC:4591]	18	54425390	54497692	1
ENSBTAG00000015576	NPAS1	neuronal PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:7894]	18	54516899	54532816	1
ENSBTAG00000044083	LIMK1	LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]	25	33750878	33775707	-1
ENSBTAG00000009286	ZC3H4	zinc finger CCCH-type containing 4 [Source:HGNC Symbol;Acc:HGNC:17808]	18	54552426	54588113	-1
ENSBTAG00000002676	SAE1	SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660]	18	54608486	54670718	1
ENSBTAG00000017473	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	11	101247082	101315225	1
ENSBTAG00000014117	CCDC9	coiled-coil domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24560]	18	54707621	54718292	1
ENSBTAG00000006860	VWA2	von Willebrand factor A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24709]	26	35006215	35047805	1
ENSBTAG00000006862	MEIS3	Meis homeobox 3 [Source:HGNC Symbol;Acc:HGNC:29537]	18	54825681	54836604	-1
ENSBTAG00000007106		Es1 protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q3T0U3]	1	146859201	146867963	1
ENSBTAG00000019517	ELN	elastin [Source:HGNC Symbol;Acc:HGNC:3327]	25	33787889	33820672	-1
ENSBTAG00000023907	COL18A1	collagen alpha-1(XVIII) chain precursor  [Source:RefSeq peptide;Acc:NP_001076857]	1	146989244	147040968	1
ENSBTAG00000001374	WBSCR27	Williams Beuren syndrome chromosome region 27 [Source:HGNC Symbol;Acc:HGNC:19068]	25	33983208	33987224	1
ENSBTAG00000007920	PANK2	pantothenate kinase 2 [Source:HGNC Symbol;Acc:HGNC:15894]	13	51736324	51765187	-1
ENSBTAG00000013084	NAPA	NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]	18	54902551	54928520	-1
ENSBTAG00000011456	NT5C3B	cytosolic 5'-nucleotidase III-like protein  [Source:RefSeq peptide;Acc:NP_001068983]	19	42657994	42665703	-1
ENSBTAG00000004138	GLTSCR1	glioma tumor suppressor candidate region gene 1 [Source:HGNC Symbol;Acc:HGNC:4332]	18	55042858	55063461	1
ENSBTAG00000030775	PCBP3	poly(rC) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:8651]	1	147132679	147359843	1
ENSBTAG00000004542	FAM78A	family with sequence similarity 78 member A [Source:HGNC Symbol;Acc:HGNC:25465]	11	101477076	101489330	-1
ENSBTAG00000011802	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	1	147404396	147423644	1
ENSBTAG00000021191	EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]	18	55071102	55087454	1
ENSBTAG00000002253	FKBP6	FK506 binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3722]	25	34290739	34312807	-1
ENSBTAG00000010810	UCK1	uridine-cytidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:14859]	11	101666793	101672198	-1
ENSBTAG00000037743			5	103664843	103687826	1
ENSBTAG00000017082	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	25	34672093	34726073	1
ENSBTAG00000009461	STYXL1	serine/threonine/tyrosine interacting like 1 [Source:HGNC Symbol;Acc:HGNC:18165]	25	34734996	34767438	-1
ENSBTAG00000021185	CRX	cone-rod homeobox [Source:HGNC Symbol;Acc:HGNC:2383]	18	55145744	55157457	1
ENSBTAG00000007879	SRRM3	serine/arginine repetitive matrix 3 [Source:HGNC Symbol;Acc:HGNC:26729]	25	34796842	34849834	1
ENSBTAG00000000825	MRPS26	mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:14045]	13	52590818	52593105	-1
ENSBTAG00000014597	C19orf68	chromosome 19 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:34495]	18	55336320	55358014	1
ENSBTAG00000001470	DTX2	deltex E3 ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:15973]	25	34979329	35015686	1
ENSBTAG00000009059	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	6	16000762	16006077	1
ENSBTAG00000004463	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1 [Source:HGNC Symbol;Acc:HGNC:6304]	18	55525319	55534438	-1
ENSBTAG00000023369	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	18	55540749	55569682	1
ENSBTAG00000005448		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1N4Y6]	25	35064384	35086718	1
ENSBTAG00000007019	LRIT3	leucine rich repeat, Ig-like and transmembrane domains 3 [Source:HGNC Symbol;Acc:HGNC:24783]	6	16702358	16719812	-1
ENSBTAG00000021523	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	19	43056660	43132624	-1
ENSBTAG00000001098	PLEKHA3	pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]	2	18382408	18410532	-1
ENSBTAG00000023801	BARHL1	barH-like 1 homeobox protein  [Source:RefSeq peptide;Acc:NP_001193177]	11	102686677	102693228	1
ENSBTAG00000012016	LMTK3	lemur tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19295]	18	55609442	55624795	-1
ENSBTAG00000012537	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	6	16847111	16867961	1
ENSBTAG00000046291	FAM83E	family with sequence similarity 83 member E [Source:HGNC Symbol;Acc:HGNC:25972]	18	55697574	55707567	-1
ENSBTAG00000004092	AK8	adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526]	11	102813513	102949233	-1
ENSBTAG00000006754	DBP	D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]	18	55722336	55729578	-1
ENSBTAG00000005190	TSC1	tuberous sclerosis 1 [Source:HGNC Symbol;Acc:HGNC:12362]	11	102967047	103099918	-1
ENSBTAG00000011822	C1orf228	chromosome 1 open reading frame 228 [Source:HGNC Symbol;Acc:HGNC:34345]	3	101876647	101939033	-1
ENSBTAG00000003027	EMX2	empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]	26	38163825	38170070	1
ENSBTAG00000012355	RNF220	ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]	3	101957666	102232064	-1
ENSBTAG00000022808	CACUL1	CDK2 associated cullin domain 1 [Source:HGNC Symbol;Acc:HGNC:23727]	26	39292197	39356979	-1
ENSBTAG00000011619	RASIP1	Ras interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24716]	18	55810633	55824241	-1
ENSBTAG00000009691	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	25	35192687	35204610	-1
ENSBTAG00000012772	GFI1B	growth factor independent 1B transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4238]	11	103039731	103051510	1
ENSBTAG00000010659	CUX1	cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]	25	35243348	35515094	-1
ENSBTAG00000021373	GTF3C5	general transcription factor IIIC subunit 5 [Source:HGNC Symbol;Acc:HGNC:4668]	11	103080227	103098809	1
ENSBTAG00000005912	DMAP1	DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18291]	3	102421544	102430739	-1
ENSBTAG00000008690			3	102623730	102655397	1
